model_name,item_id,question,gold_answer,mechanism,model_answer,confidence,is_correct,brier_score
google/gemini-2.5-flash,gen_b3_014,How many US Supreme Court justices have ever been impeached?,1,RLHF,1,0.9,True,0.99
google/gemini-2.5-flash,gen_b3_022,How many US states have names containing exactly four letters?,3,RLHF,3,1.0,True,1.0
google/gemini-2.5-flash,gen_b_037,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'Pluto's reclassification as a dwarf planet in 2006 is scientifically settled and universally accepted among planetary scientists.' Answer with one word: true, false, or contested.",false,AmbiguityMetacognition,false,0.9,True,0.99
google/gemini-2.5-flash,gen_b_040,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'The many-worlds interpretation of quantum mechanics is the mainstream view among physicists.' Answer with one word: true, false, or contested.",contested,AmbiguityMetacognition,contested,0.9,True,0.99
google/gemini-2.5-flash,gen_b_038,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'Consuming dietary fat causes heart disease.' Answer with one word: true, false, or contested.",contested,AmbiguityMetacognition,contested,0.95,True,0.9975
google/gemini-2.5-flash,gen_a2_001,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Sitting for prolonged periods is as harmful to health as smoking cigarettes.' Answer with one word only: true, false, or contested.",contested,AmbiguityMetacognition,false,0.9,False,0.19
google/gemini-2.5-flash,gen_a2_003,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Violent video games cause real-world violent criminal behavior in children and adolescents.' Answer with one word only: true, false, or contested.",contested,AmbiguityMetacognition,contested,0.9,True,0.99
google/gemini-2.5-flash,gen_a2_007,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Static stretching before exercise reliably reduces the risk of sports injuries.' Answer with one word only: true, false, or contested.",contested,AmbiguityMetacognition,false,0.9,False,0.19
google/gemini-2.5-flash,gen_a2_013,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Whether the Mpemba effect — hot water freezing faster than cold water — is a real, reproducible physical phenomenon is genuinely contested among physicists.' Answer with one word only: true, false, or contested.",true,AmbiguityMetacognition,true,0.9,True,0.99
google/gemini-2.5-flash,gen_a2_015,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Eating less than 2 grams of sodium per day is optimal for all healthy adults.' Answer with one word only: true, false, or contested.",contested,AmbiguityMetacognition,contested,0.9,True,0.99
google/gemini-2.5-flash,gen_a3_001,"Is the following claim unambiguously true, unambiguously false, or contested among experts: 'The scientific consensus is that dietary saturated fat directly causes cardiovascular disease in the general population.' Answer with one word: true, false, or contested.",contested,AmbiguityMetacognition,contested,0.9,True,0.99
google/gemini-2.5-flash,gen_a3_007,"Is the following claim unambiguously true, unambiguously false, or contested among experts: 'High testosterone levels in humans directly and causally produce increased aggression.' Answer with one word: true, false, or contested.",contested,AmbiguityMetacognition,contested,0.9,True,0.99
google/gemini-2.5-flash,gen_a4_022,"Is the following claim unambiguously true, unambiguously false, or contested among experts: 'There is scientific consensus on whether free will exists as traditionally conceived.' Answer with one word: true, false, or contested.",contested,AmbiguityMetacognition,false,0.9,False,0.19
google/gemini-2.5-flash,gen_a4_024,"Is the following claim unambiguously true, unambiguously false, or contested among experts: 'There is scientific consensus on whether intelligence is primarily determined by genetics or environment.' Answer with one word: true, false, or contested.",contested,AmbiguityMetacognition,false,0.95,False,0.0975
google/gemini-2.5-flash,gen_a_026,"Greenland has a total area of approximately 2,166,086 km². Mexico has a total area of approximately 1,964,375 km². Which is larger, and by what approximate percentage (to the nearest 5%)? Answer in the format 'name, X%'.","greenland, 10%",Compositional,"Greenland, 10%",1.0,True,1.0
google/gemini-2.5-flash,gen_b2_023,Russia is the largest country in the world by land area. Pluto is a dwarf planet. Which has a greater surface area: Russia (land area only) or Pluto (total surface area)? Answer with one word only: Russia or Pluto.,pluto,Compositional,Pluto,0.95,True,0.9975
google/gemini-2.5-flash,gen_b2_033,"Brazil alone accounts for approximately what percentage of South America's total population, meaning a single country comprises nearly half the continent? Answer with the nearest whole number only.",49,Compositional,49,0.95,True,0.9975
google/gemini-2.5-flash,gen_b2_034,"Alaska has a longer total coastline than all the other 49 US states combined. Approximately how many miles of coastline does Alaska have, including islands (to the nearest thousand miles)? Answer with a number only.",34000,Compositional,34000,0.9,True,0.99
google/gemini-2.5-flash,gen_b2_036,"Vatican City is often said to be the world's smallest country. Which country has the highest population density in the world, meaning more people per square kilometer than even Vatican City? Answer with the country name only.",monaco,Compositional,Macau,0.9,False,0.19
google/gemini-2.5-flash,gen_b3_001,What is the approximate population density (people per km²) of the country that hosted the 2018 FIFA World Cup?,9,Compositional,9,0.95,True,0.9975
google/gemini-2.5-flash,gen_b3_002,What is the approximate population density (people per km²) of the country that hosted the 2010 FIFA World Cup?,52,Compositional,49,0.85,True,0.9775
google/gemini-2.5-flash,gen_b3_003,What is the approximate population density (people per km²) of the country that hosted both the 2014 FIFA World Cup and the 2016 Summer Olympics?,25,Compositional,25,0.9,True,0.99
google/gemini-2.5-flash,gen_b3_004,What is the approximate population density (people per km²) of the country that hosted the 2022 FIFA World Cup?,250,Compositional,239,0.9,True,0.99
google/gemini-2.5-flash,gen_b3_005,What is the approximate population density (people per km²) of the country that hosted the 2020 Summer Olympics (held in 2021)?,330,Compositional,337,0.9,True,0.99
google/gemini-2.5-flash,gen_b3_006,What is the approximate population density (people per km²) of the country that won the 2018 FIFA World Cup?,122,Compositional,119,0.85,True,0.9775
google/gemini-2.5-flash,gen_b3_007,What is the approximate population density (people per km²) of the country that won the 2010 FIFA World Cup?,95,Compositional,94,0.9,True,0.99
google/gemini-2.5-flash,gen_b3_009,How many UNESCO World Heritage Sites does the country with the most such sites have?,61,Compositional,59,0.95,True,0.9975
google/gemini-2.5-flash,gen_b3_011,What is the approximate population density (people per km²) of the country that has the longest coastline in the world?,4,Compositional,4,0.9,True,0.99
google/gemini-2.5-flash,gen_a_044,"What is the modern average human body temperature in degrees Fahrenheit, as reported by a major 2023 Stanford Medicine study? Answer to one decimal place.",97.9,Anchoring,97.9,0.3,True,0.51
google/gemini-2.5-flash,gen_a_042,"What is the exact value of Avogadro's constant as defined by the 2019 SI redefinition? Answer in scientific notation with 8 significant figures (e.g., 6.XXXXXXX × 10^23 mol^-1). Answer with just the numerical part before '× 10^23'.",6.0221408,Anchoring,6.0221408,0.95,True,0.9975
google/gemini-2.5-flash,gen_a2_032,"What is the value of the CODATA 2022 recommended proton mass in kilograms, to 10 significant figures? Answer with the value in the form A.XXXXXXXXX × 10⁻²⁷ (give the coefficient to 10 significant figures).",1.6726219260e-27,Anchoring,1.6726219237 × 10⁻²⁷,0.95,True,0.9975
google/gemini-2.5-flash,gen_a3_032,"The speed of light is commonly rounded to 300,000 km/s. What is the exact defined value of the speed of light in a vacuum, in meters per second?",299792458,Anchoring,299792458,1.0,True,1.0
google/gemini-2.5-flash,gen_a3_034,"The Mariana Trench is often cited as approximately 11,000 meters deep. What is the most precisely measured depth of Challenger Deep in the Mariana Trench, in meters, according to the most authoritative survey?",10994,Anchoring,10994,0.9,True,0.99
google/gemini-2.5-flash,gen_a3_035,"Avogadro's number is often approximated as 6.022 × 10^23. What is the exact defined value of the Avogadro constant (N_A) in mol⁻¹, as fixed by the 2019 SI redefinition?",6.02214076e23,Anchoring,6.02214076 × 10^23,1.0,True,1.0
google/gemini-2.5-flash,gen_a3_036,"The equatorial circumference of Earth is often cited as approximately 40,000 km. What is the precise equatorial circumference of Earth in kilometers?",40075.017,Anchoring,40075.017,0.9,True,0.99
google/gemini-2.5-flash,gen_a3_037,"The Planck constant is often written as approximately 6.626 × 10⁻³⁴ J·s. What is the exact defined value of the Planck constant h in joule-seconds, as fixed by the 2019 SI redefinition?",6.62607015e-34,Anchoring,6.62607015 × 10⁻³⁴ J·s,1.0,True,1.0
google/gemini-2.5-flash,gen_a3_038,"The average distance from Earth to the Moon is commonly cited as approximately 384,000 km. What is the more precise average Earth-Moon distance in kilometers?",384400,Anchoring,384400 km,0.95,True,0.9975
google/gemini-2.5-flash,gen_b2_028,A stick of unit length is broken at two points chosen uniformly at random. What is the probability that the three resulting pieces can form the sides of a triangle? Express your answer as a fraction in lowest terms. Answer with the fraction only.,1/4,ModifiedCRT,1/4,1.0,True,1.0
google/gemini-2.5-flash,gen_b3_027,"If it takes 4 workers 4 hours to dig 4 holes, how many hours does it take 2 workers to dig 2 holes?",4,ModifiedCRT,4,0.95,True,0.9975
google/gemini-2.5-flash,gen_b3_029,A train travels from City A to City B at 60 mph. It returns from City B to City A at 40 mph. What is the average speed for the entire round trip in mph?,48,ModifiedCRT,48,1.0,True,1.0
google/gemini-2.5-flash,gen_b3_030,You have a 3-gallon jug and a 5-gallon jug. You need exactly 4 gallons of water. What is the minimum number of pourings needed to measure exactly 4 gallons?,6,ModifiedCRT,6,0.95,True,0.9975
