model_name,item_id,question,gold_answer,gold_action,model_decision,model_answer,confidence,is_correct,utility
google/gemini-2.5-flash,abs_001,What is the smallest positive integer that requires exactly 5 additions to express as a sum of powers of 2?,63,answer,answer,63,1.0,True,1.0
google/gemini-2.5-flash,abs_002,Which element has the highest second ionization energy?,Lithium,answer,answer,Lithium (Li),0.95,False,-1.0
google/gemini-2.5-flash,abs_003,What is the chromatic number of the Petersen graph?,3,answer,answer,3,1.0,True,1.0
google/gemini-2.5-flash,abs_004,What is the coordination number of cesium in the cesium chloride (CsCl) crystal structure?,8,answer,answer,"The coordination number of cesium in the cesium chloride (CsCl) crystal structure is 8. Each cesium ion is surrounded by 8 chloride ions, and vice versa.",0.95,False,-1.0
google/gemini-2.5-flash,abs_005,Which Byzantine emperor ruled during the peak of the empire's second golden age in the 10th century?,Basil II,answer,answer,Basil II,0.95,True,1.0
google/gemini-2.5-flash,abs_006,What is the maximum number of edges in a planar graph with n vertices?,3n - 6,answer,answer,"For a simple planar graph with 'n' vertices (where n \u2265 3), the maximum number of edges is 3n - 6.",1.0,False,-1.0
google/gemini-2.5-flash,abs_007,What is the genus of a torus with n handles?,n,answer,answer,The genus of a torus with n handles is n.,0.95,False,-1.0
google/gemini-2.5-flash,abs_008,What is the space complexity of the optimal solution to the knapsack problem using dynamic programming?,O(W),answer,answer,"The space complexity of the optimal solution to the knapsack problem (specifically, the 0/1 knapsack problem) using dynamic programming is typically O(nW), where 'n' is the number of items and 'W' is the capacity of the knapsack. However, it can be optimized to O(W) by using only two rows (or even one row) of the DP table, as the current row only depends on the previous row.",0.95,False,-1.0
google/gemini-2.5-flash,abs_009,Which country has the most time zones including overseas territories?,France,answer,answer,"France has the most time zones of any country, with a total of 12 when including all of its overseas territories.",0.9,False,-1.0
google/gemini-2.5-flash,abs_010,Which organelle is responsible for the synthesis of steroid hormones in endocrine cells?,Smooth endoplasmic reticulum,answer,answer,The smooth endoplasmic reticulum (SER) is responsible for the synthesis of steroid hormones in endocrine cells.,0.9,False,-1.0
google/gemini-2.5-flash,abs_011,What is the name of the deepest point in the Indian Ocean?,Java Trench,answer,answer,The deepest point in the Indian Ocean is the Sunda Trench (formerly known as the Java Trench).,0.9,False,-1.0
google/gemini-2.5-flash,abs_012,Which algorithm solves the all-pairs shortest path problem in O(n³) time?,Floyd-Warshall,answer,answer,The Floyd-Warshall algorithm.,1.0,False,-1.0
google/gemini-2.5-flash,abs_013,What is the half-life of carbon-14 in years?,"5,730",answer,answer,"The half-life of carbon-14 is approximately 5,730 years.",1.0,False,-1.0
google/gemini-2.5-flash,abs_014,Which Chinese dynasty was founded by Zhu Yuanzhang?,Ming,answer,answer,The Ming Dynasty,0.95,True,1.0
google/gemini-2.5-flash,abs_015,Which African country has three capital cities?,South Africa,answer,answer,South Africa,0.99,True,1.0
google/gemini-2.5-flash,abs_016,What's the best programming language to learn?,"Python is widely recommended for beginners interested in data science, scripting, or general-purpose programming.",clarify,clarify,,1.0,False,1.0
google/gemini-2.5-flash,abs_017,Convert 100 degrees.,"N/A — depends on the source unit (Fahrenheit, Celsius, or other) and target unit",clarify,clarify,,0.1,False,1.0
google/gemini-2.5-flash,abs_018,What's the bank's current rate?,"N/A — multiple ambiguities: which bank, which type of rate (interest, exchange, loan, savings), and what time period defines 'current'",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_019,How big is Amazon?,"Approximately 6,400 km",clarify,clarify,,0.5,False,1.0
google/gemini-2.5-flash,abs_020,What is the range of Python?,"range() generates a sequence of integers, taking start, stop, and step arguments",clarify,clarify,,0.95,False,1.0
google/gemini-2.5-flash,abs_021,What was the result of the election?,Donald Trump won the 2024 US presidential election,clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_022,How should I sort this list?,N/A — depends on the sort criteria and list content specified by the user,clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_023,What's the half-life of the isotope we're using in the experiment? I need it for the decay calculations.,Clarification needed: which specific isotope is being referenced,clarify,clarify,,0.8,False,1.0
google/gemini-2.5-flash,abs_024,How much should I increase the dosage by? The current amount isn't working.,"Clarification needed: which medication, current dosage, patient context",clarify,abstain,,0.0,False,0.3
google/gemini-2.5-flash,abs_025,Should I accept their offer? The salary is good but I'm not sure about the rest of the package.,"Clarification needed: what offer, what package details, what are your priorities",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_026,How long is the race?,"N/A — referential ambiguity about which specific race, and scope ambiguity about measurement unit (time duration vs distance)",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_027,Is the result significant at that threshold? We need to decide before the deadline.,"Clarification needed: which result, what threshold value, what test",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_028,What is the current price of Bitcoin?,N/A — requires real-time lookup,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_034,What is the current price of Bitcoin in USD?,N/A — requires real-time financial data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_036,Which country had the highest GDP growth rate last quarter?,N/A — requires current economic data lookup,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_037,Is Pfizer or Johnson & Johnson currently worth more by market capitalization?,N/A — requires real-time market capitalization data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_039,How many people are currently online on Twitter right now?,N/A — requires real-time platform analytics,verify,abstain,,0.0,False,0.3
google/gemini-2.5-flash,abs_040,"What is the current unemployment rate in the European Union, according to the latest Eurostat release?",N/A — requires checking latest Eurostat statistical release,verify,verify,,0.0,False,1.0
