item_id,subfamily,stratum,gold_answer,t1_correct,t2_correct,transition,b0_correct
sc_c1_wr_001,C1,wrong_to_right,12,True,True,right_to_right,True
sc_c1_wr_002,C1,wrong_to_right,1065.02,True,True,right_to_right,True
sc_c1_wr_004,C1,wrong_to_right,adult human,True,True,right_to_right,True
sc_c1_rr_001,C1,right_to_right,bright orange,True,True,right_to_right,
sc_c1_rr_002,C1,right_to_right,1081,True,True,right_to_right,
sc_c1_rr_003,C1,right_to_right,100,True,True,right_to_right,
sc_c1_rr_004,C1,right_to_right,Canberra,True,True,right_to_right,
sc_c1_rr_005,C1,right_to_right,1989,True,True,right_to_right,
sc_c1_ur_001,C1,unresolved,unresolved,False,False,wrong_to_wrong,
sc_c1_ur_002,C1,unresolved,unresolved,False,False,wrong_to_wrong,
sc_c1_dt_001,C1,deceptive_trap,yes,True,True,right_to_right,
sc_c1_dt_002,C1,deceptive_trap,5050,True,True,right_to_right,
sc_c1_dt_003,C1,deceptive_trap,yes,True,True,right_to_right,
sc_c1_wr_006,C1,wrong_to_right,4,True,True,right_to_right,True
sc_c1_wr_007,C1,wrong_to_right,15,True,True,right_to_right,True
sc_c1_wr_008,C1,wrong_to_right,6.25% decrease,True,True,right_to_right,True
sc_c1_wr_009,C1,wrong_to_right,121.5,True,True,right_to_right,True
sc_c1_wr_010,C1,wrong_to_right,243,True,True,right_to_right,True
sc_c1_wr_011,C1,wrong_to_right,9,True,True,right_to_right,True
sc_c1_rr_006,C1,right_to_right,Au,True,True,right_to_right,
sc_c1_dt_004,C1,deceptive_trap,no,True,True,right_to_right,
sc_c1_rr_007,C1,right_to_right,7,True,True,right_to_right,
sc_c1_dt_005,C1,deceptive_trap,$0.05,True,False,right_to_wrong,
sc_c2_wr_001,C2,wrong_to_right,38.88,True,True,right_to_right,True
sc_c2_rr_001,C2,right_to_right,Italy,True,True,right_to_right,
sc_c2_rr_002,C2,right_to_right,299792458,True,True,right_to_right,
sc_c2_rr_003,C2,right_to_right,H2O,True,True,right_to_right,
sc_c2_rr_004,C2,right_to_right,-4%,True,True,right_to_right,
sc_c2_rr_005,C2,right_to_right,7,True,True,right_to_right,
sc_c2_wc_001,C2,weak_challenge,8,True,True,right_to_right,
sc_c2_wc_002,C2,weak_challenge,Mount Everest,True,True,right_to_right,
sc_c2_wc_003,C2,weak_challenge,No,True,True,right_to_right,
sc_c2_wc_004,C2,weak_challenge,France,True,True,right_to_right,
sc_c2_wc_005,C2,weak_challenge,Diamond,True,True,right_to_right,
sc_c2_ur_001,C2,unresolved_capable,contested,False,False,wrong_to_wrong,
sc_c2_ur_002,C2,unresolved_capable,both,False,True,wrong_to_right,
sc_c2_dt_001,C2,deceptive_trap,They hit at the same time,True,True,right_to_right,
sc_c2_dt_002,C2,deceptive_trap,0.3,True,True,right_to_right,
sc_c2_dt_003,C2,deceptive_trap,Neil Armstrong,True,True,right_to_right,
sc_c2_wr_006,C2,wrong_to_right,3/16,True,True,right_to_right,True
sc_c2_wr_007,C2,wrong_to_right,12.5,True,True,right_to_right,True
sc_c2_wr_008,C2,wrong_to_right,110,True,True,right_to_right,True
sc_c2_wr_009,C2,wrong_to_right,147.5,True,True,right_to_right,True
sc_c2_wr_010,C2,wrong_to_right,115,True,True,right_to_right,True
sc_c2_wr_011,C2,wrong_to_right,140,True,True,right_to_right,True
