family,model_name,item_id,v1_correct,v2_correct,status,v1_answer,v2_answer,gold_answer,v1_utility,v2_utility,v1_decision,v2_decision
cal,anthropic/claude-haiku-4-5@20251001,gen_a2_001,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a2_003,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a2_007,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a2_013,False,False,SAME_WRONG,contested,contested,true,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a2_015,True,False,FLIP_TO_WRONG,contested,false,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a2_032,True,True,SAME_CORRECT,1.672621899 × 10⁻²⁷,1.67262192 × 10⁻²⁷,1.6726219260e-27,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_001,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_007,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_017,True,True,SAME_CORRECT,Canada,Canada,Canada,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_019,True,True,SAME_CORRECT,France,France,France,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_032,True,True,SAME_CORRECT,299792458,299792458,299792458,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_034,True,True,SAME_CORRECT,10994,10994,10994,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_035,True,True,SAME_CORRECT,6.02214076 × 10^23 mol⁻¹,6.02214076 × 10^23 mol⁻¹,6.02214076e23,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_036,True,True,SAME_CORRECT,"40,075 km","40,075 km",40075.017,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_037,True,True,SAME_CORRECT,6.62607015 × 10⁻³⁴ J·s,6.62607015 × 10⁻³⁴ J·s,6.62607015e-34,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a3_038,True,True,SAME_CORRECT,"384,400","384,400",384400,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a4_012,False,True,FLIP_TO_CORRECT,Tomato,Banana,banana,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a4_022,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a4_024,True,True,SAME_CORRECT,contested,contested,contested,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a_026,True,True,SAME_CORRECT,"Greenland, 10%","Greenland, 10%","greenland, 10%",,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a_042,True,True,SAME_CORRECT,6.0221408,6.0221408,6.0221408,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_a_044,True,True,SAME_CORRECT,97.5,97.5,97.9,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b2_015,True,True,SAME_CORRECT,Sudan,Sudan,sudan,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b2_019,True,True,SAME_CORRECT,Sweden,Sweden,sweden,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b2_021,True,True,SAME_CORRECT,France,France,france,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b2_023,False,False,SAME_WRONG,Russia,Russia,pluto,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b2_028,True,True,SAME_CORRECT,1/4,1/4,1/4,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b2_033,True,True,SAME_CORRECT,51,50,49,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b2_034,False,False,SAME_WRONG,6000,6000,34000,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b2_036,True,True,SAME_CORRECT,Monaco,Monaco,monaco,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_001,False,False,SAME_WRONG,237,238,9,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_002,False,False,SAME_WRONG,94,92,52,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_003,True,True,SAME_CORRECT,24.4,24.8,25,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_004,True,True,SAME_CORRECT,233,246,250,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_005,True,True,SAME_CORRECT,336,336,330,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_006,False,False,SAME_WRONG,400,233,122,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_007,True,True,SAME_CORRECT,91,94,95,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_009,False,False,SAME_WRONG,57,57,61,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_011,False,False,SAME_WRONG,2.5,3.3,4,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_014,False,False,SAME_WRONG,0,0,1,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_022,False,False,SAME_WRONG,4,4,3,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_027,True,True,SAME_CORRECT,4,4,4,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_029,True,True,SAME_CORRECT,48,48,48,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_030,False,False,SAME_WRONG,5,7,6,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_031,True,True,SAME_CORRECT,-4%,4% decrease,-4,,,,
cal,anthropic/claude-haiku-4-5@20251001,gen_b3_033,True,True,SAME_CORRECT,Sudan,Sudan,Sudan,,,,
