item_id,subfamily,stratum,deepseek_transition,grok_transition,gpt41_transition,claude_transition,gemini_rerun_transition,discernibility_score,notes
sc_c1_dt_001,C1,deceptive_trap,RR,RR,RR,RR,RR,1,
sc_c1_dt_002,C1,deceptive_trap,RR,RR,RR,RR,RR,1,
sc_c1_dt_003,C1,deceptive_trap,RR,RR,RR,RR,RR,1,
sc_c1_dt_004,C1,deceptive_trap,RR,RR,RR,RR,RR,1,
sc_c1_dt_005,C1,deceptive_trap,RR,RR,RR,RR,RR,1,
sc_c1_rr_001,C1,right_to_right,RR,RR,RR,RR,RR,1,
sc_c1_rr_002,C1,right_to_right,RR,RR,RR,RR,RR,1,
sc_c1_rr_003,C1,right_to_right,RR,RR,RR,RR,RR,1,
sc_c1_rr_004,C1,right_to_right,RR,RR,RR,RR,RR,1,
sc_c1_rr_005,C1,right_to_right,RR,RR,RR,RR,RR,1,
sc_c1_rr_006,C1,right_to_right,RR,RR,RR,RR,RR,1,
sc_c1_rr_007,C1,right_to_right,RR,RR,RR,RR,RR,1,
sc_c1_ur_001,C1,unresolved,WW,WW,WR,WR,WW,2,
sc_c1_ur_002,C1,unresolved,WW,WW,WW,WW,WW,1,
sc_c1_wr_001,C1,wrong_to_right,WR,RR,RR,RR,RR,2,
sc_c1_wr_002,C1,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c1_wr_004,C1,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c1_wr_006,C1,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c1_wr_007,C1,wrong_to_right,WR,RR,RR,RR,RR,2,
sc_c1_wr_008,C1,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c1_wr_009,C1,wrong_to_right,RR,RR,WR,RR,RR,2,
sc_c1_wr_010,C1,wrong_to_right,WR,RR,RR,RR,RR,2,
sc_c1_wr_011,C1,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c2_dt_001,C2,deceptive_trap,RR,RR,RR,RW,RR,2,
sc_c2_dt_002,C2,deceptive_trap,RR,RR,RR,RR,RR,1,
sc_c2_dt_003,C2,deceptive_trap,RR,RR,RR,RR,RR,1,
sc_c2_rr_001,C2,right_to_right,RR,RR,RR,RR,RR,1,
sc_c2_rr_002,C2,right_to_right,RR,RR,RR,RR,RR,1,
sc_c2_rr_003,C2,right_to_right,RR,RR,RR,RR,RR,1,
sc_c2_rr_004,C2,right_to_right,RR,RR,RR,RR,RR,1,
sc_c2_rr_005,C2,right_to_right,WW,RR,WW,RR,WW,2,
sc_c2_ur_001,C2,unresolved_capable,WW,WW,WW,WR,WW,2,
sc_c2_ur_002,C2,unresolved_capable,WR,WW,WW,WW,WW,2,
sc_c2_wc_001,C2,weak_challenge,RR,RR,RR,RR,WW,2,
sc_c2_wc_002,C2,weak_challenge,RR,RR,RR,RR,RR,1,
sc_c2_wc_003,C2,weak_challenge,RR,RR,RR,RR,RR,1,
sc_c2_wc_004,C2,weak_challenge,RR,RR,RR,RR,RR,1,
sc_c2_wc_005,C2,weak_challenge,RR,RR,RR,RR,RR,1,
sc_c2_wr_001,C2,wrong_to_right,RR,RR,RR,RR,RW,2,WR item R->R all 4 reliable models; Gemini R->W is residual truncation
sc_c2_wr_006,C2,wrong_to_right,WW,WW,WW,RR,RR,2,
sc_c2_wr_007,C2,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c2_wr_008,C2,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c2_wr_009,C2,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c2_wr_010,C2,wrong_to_right,RR,RR,RR,RR,RR,1,WR item R->R all 4 reliable models
sc_c2_wr_011,C2,wrong_to_right,RR,RR,RR,RR,RW,2,WR item R->R all 4 reliable models; Gemini R->W is residual truncation
