item_id,family,model_name,question_full,gold_answer_source,gold_answer_csv,model_answer,model_decision,gold_action,recorded_correct,reaudit_correct,reaudit_method,reaudit_detail,contains_gold,flag
gen_b3_014,A,google/gemini-2.5-flash,How many US Supreme Court justices have ever been impeached?,1,1,1,,,True,True,alias_plus_normalization,gold match,True,
gen_b3_022,A,google/gemini-2.5-flash,How many US states have names containing exactly four letters?,3,3,3,,,True,True,alias_plus_normalization,gold match,True,
gen_b_037,A,google/gemini-2.5-flash,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'Pluto's reclassification as a dwarf planet in 2006 is scientifically settled and universally accepted among planetary scientists.' Answer with one word: true, false, or contested.",false,false,false,,,True,True,tri_label,matched: false,True,
gen_b_040,A,google/gemini-2.5-flash,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'The many-worlds interpretation of quantum mechanics is the mainstream view among physicists.' Answer with one word: true, false, or contested.",contested,contested,contested,,,True,True,tri_label,matched: contested,True,
gen_b_038,A,google/gemini-2.5-flash,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'Consuming dietary fat causes heart disease.' Answer with one word: true, false, or contested.",contested,contested,contested,,,True,True,tri_label,matched: contested,True,
gen_a2_001,A,google/gemini-2.5-flash,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Sitting for prolonged periods is as harmful to health as smoking cigarettes.' Answer with one word only: true, false, or contested.",contested,contested,false,,,False,False,tri_label,label mismatch: false vs gold contested,False,
gen_a2_003,A,google/gemini-2.5-flash,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Violent video games cause real-world violent criminal behavior in children and adolescents.' Answer with one word only: true, false, or contested.",contested,contested,contested,,,True,True,tri_label,matched: contested,True,
gen_a2_007,A,google/gemini-2.5-flash,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Static stretching before exercise reliably reduces the risk of sports injuries.' Answer with one word only: true, false, or contested.",contested,contested,false,,,False,False,tri_label,label mismatch: false vs gold contested,False,
gen_a2_013,A,google/gemini-2.5-flash,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Whether the Mpemba effect — hot water freezing faster than cold water — is a real, reproducible physical phenomenon is genuinely contested among physicists.' Answer with one word only: true, false, or contested.",true,true,true,,,True,True,tri_label,matched: true,True,
gen_a2_015,A,google/gemini-2.5-flash,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Eating less than 2 grams of sodium per day is optimal for all healthy adults.' Answer with one word only: true, false, or contested.",contested,contested,contested,,,True,True,tri_label,matched: contested,True,
