item_id,subfamily,stratum,t1_correct,t2_correct,transition,b0_correct
sc_c1_wr_001,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_wr_002,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_wr_004,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_rr_001,C1,right_to_right,True,True,right_to_right,
sc_c1_rr_002,C1,right_to_right,True,True,right_to_right,
sc_c1_rr_003,C1,right_to_right,True,True,right_to_right,
sc_c1_rr_004,C1,right_to_right,True,True,right_to_right,
sc_c1_rr_005,C1,right_to_right,True,True,right_to_right,
sc_c1_ur_001,C1,unresolved,False,False,wrong_to_wrong,
sc_c1_ur_002,C1,unresolved,False,False,wrong_to_wrong,
sc_c1_dt_001,C1,deceptive_trap,True,True,right_to_right,
sc_c1_dt_002,C1,deceptive_trap,True,True,right_to_right,
sc_c1_dt_003,C1,deceptive_trap,True,True,right_to_right,
sc_c1_wr_006,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_wr_007,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_wr_008,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_wr_009,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_wr_010,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_wr_011,C1,wrong_to_right,True,True,right_to_right,True
sc_c1_rr_006,C1,right_to_right,True,True,right_to_right,
sc_c1_dt_004,C1,deceptive_trap,True,True,right_to_right,
sc_c1_rr_007,C1,right_to_right,True,True,right_to_right,
sc_c1_dt_005,C1,deceptive_trap,True,True,right_to_right,
sc_c2_wr_001,C2,wrong_to_right,True,True,right_to_right,True
sc_c2_rr_001,C2,right_to_right,True,True,right_to_right,
sc_c2_rr_002,C2,right_to_right,True,True,right_to_right,
sc_c2_rr_003,C2,right_to_right,True,True,right_to_right,
sc_c2_rr_004,C2,right_to_right,False,True,wrong_to_right,
sc_c2_rr_005,C2,right_to_right,True,True,right_to_right,
sc_c2_wc_001,C2,weak_challenge,True,True,right_to_right,
sc_c2_wc_002,C2,weak_challenge,True,True,right_to_right,
sc_c2_wc_003,C2,weak_challenge,True,True,right_to_right,
sc_c2_wc_004,C2,weak_challenge,True,True,right_to_right,
sc_c2_wc_005,C2,weak_challenge,True,True,right_to_right,
sc_c2_ur_001,C2,unresolved_capable,False,False,wrong_to_wrong,
sc_c2_ur_002,C2,unresolved_capable,False,False,wrong_to_wrong,
sc_c2_dt_001,C2,deceptive_trap,True,False,right_to_wrong,
sc_c2_dt_002,C2,deceptive_trap,True,True,right_to_right,
sc_c2_dt_003,C2,deceptive_trap,True,True,right_to_right,
sc_c2_wr_006,C2,wrong_to_right,True,True,right_to_right,True
sc_c2_wr_007,C2,wrong_to_right,True,True,right_to_right,True
sc_c2_wr_008,C2,wrong_to_right,True,True,right_to_right,True
sc_c2_wr_009,C2,wrong_to_right,True,True,right_to_right,True
sc_c2_wr_010,C2,wrong_to_right,True,True,right_to_right,True
sc_c2_wr_011,C2,wrong_to_right,True,True,right_to_right,True
