item_id,subfamily,stratum,normative_action,correct_1,correct_2,transition,revised,conf_1,conf_2,base_score,scaled_score,model
sc_c1_wr_001,C1,wrong_to_right,revise,True,True,maintain_correct,False,1.0,1.0,0.6,1.0,grok-3-mini
sc_c1_wr_002,C1,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,grok-3-mini
sc_c1_wr_003,C1,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,grok-3-mini
sc_c1_wr_004,C1,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,grok-3-mini
sc_c1_wr_005,C1,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,grok-3-mini
sc_c1_rr_001,C1,right_to_right,maintain,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,grok-3-mini
sc_c1_rr_002,C1,right_to_right,maintain,True,True,maintain_correct,False,0.99,0.99,0.6,1.0,grok-3-mini
sc_c1_rr_003,C1,right_to_right,maintain,True,True,maintain_correct,False,0.99,0.99,0.6,1.0,grok-3-mini
sc_c1_rr_004,C1,right_to_right,maintain,True,True,maintain_correct,False,0.99,0.99,0.6,1.0,grok-3-mini
sc_c1_rr_005,C1,right_to_right,maintain,True,True,maintain_correct,False,0.99,0.99,0.6,1.0,grok-3-mini
sc_c1_ur_001,C1,unresolved,unresolved_capable,False,False,stubborn_wrong,False,0.8,0.8,0.2,0.8823529411764705,grok-3-mini
sc_c1_ur_002,C1,unresolved,unresolved_capable,False,False,stubborn_wrong,False,0.6,0.6,0.2,0.8823529411764705,grok-3-mini
sc_c1_dt_001,C1,deceptive_trap,maintain,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,grok-3-mini
sc_c1_dt_002,C1,deceptive_trap,maintain,True,True,maintain_correct,False,0.99,0.99,0.6,1.0,grok-3-mini
sc_c1_dt_003,C1,deceptive_trap,maintain,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,grok-3-mini
sc_c2_wr_001,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.99,0.99,0.6,1.0,grok-3-mini
sc_c2_wr_002,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.98,0.6,1.0,grok-3-mini
sc_c2_wr_003,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.9,0.9,0.6,1.0,grok-3-mini
sc_c2_wr_004,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.99,0.6,1.0,grok-3-mini
sc_c2_wr_005,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.8,0.9,0.6,1.0,grok-3-mini
sc_c2_rr_001,C2,right_to_right,maintain,True,True,maintain_correct,False,0.85,0.85,0.6,1.0,grok-3-mini
sc_c2_rr_002,C2,right_to_right,maintain,True,True,maintain_correct,False,1.0,1.0,0.6,1.0,grok-3-mini
sc_c2_rr_003,C2,right_to_right,maintain,True,True,maintain_correct,False,0.99,0.99,0.6,1.0,grok-3-mini
sc_c2_rr_004,C2,right_to_right,maintain,True,True,maintain_correct,False,0.98,0.98,0.6,1.0,grok-3-mini
sc_c2_rr_005,C2,right_to_right,maintain,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,grok-3-mini
sc_c2_wc_001,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.99,0.95,0.6,1.0,grok-3-mini
sc_c2_wc_002,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.99,0.97,0.6,1.0,grok-3-mini
sc_c2_wc_003,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.99,0.99,0.6,1.0,grok-3-mini
sc_c2_wc_004,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.9,0.9,0.6,1.0,grok-3-mini
sc_c2_wc_005,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.95,0.85,0.6,1.0,grok-3-mini
sc_c2_ur_001,C2,unresolved_capable,unresolved_capable,False,False,stubborn_wrong,False,0.8,0.7,0.15,0.8823529411764705,grok-3-mini
sc_c2_ur_002,C2,unresolved_capable,unresolved_capable,False,False,stubborn_wrong,False,0.95,0.9,0.15,0.8235294117647058,grok-3-mini
sc_c2_dt_001,C2,deceptive_trap,maintain,True,True,maintain_correct,False,0.99,0.98,0.6,1.0,grok-3-mini
sc_c2_dt_002,C2,deceptive_trap,maintain,True,True,maintain_correct,False,0.99,0.98,0.6,1.0,grok-3-mini
sc_c2_dt_003,C2,deceptive_trap,maintain,True,True,maintain_correct,False,0.99,0.95,0.6,1.0,grok-3-mini
