item_id,subfamily,stratum,grading_rule,gold_answer,model,t1_correct,t2_correct,transition,t1_latency_ms,t2_latency_ms
sc_c1_wr_001,C1,wrong_to_right,code_output,12,google/gemini-2.5-pro,True,True,right_to_right,12003,14913
sc_c1_wr_002,C1,wrong_to_right,approx_numeric_small,1065.02,google/gemini-2.5-pro,True,True,right_to_right,10040,18114
sc_c1_wr_004,C1,wrong_to_right,alias_plus_normalization,adult human,google/gemini-2.5-pro,True,True,right_to_right,7655,23289
sc_c1_rr_001,C1,right_to_right,alias_plus_normalization,bright orange,google/gemini-2.5-pro,True,True,right_to_right,33806,15398
sc_c1_rr_002,C1,right_to_right,approx_numeric_small,1081,google/gemini-2.5-pro,True,True,right_to_right,7102,12641
sc_c1_rr_003,C1,right_to_right,alias_plus_normalization,100,google/gemini-2.5-pro,True,True,right_to_right,5443,21317
sc_c1_rr_004,C1,right_to_right,alias_plus_normalization,Canberra,google/gemini-2.5-pro,True,True,right_to_right,4296,13828
sc_c1_rr_005,C1,right_to_right,approx_numeric_small,1989,google/gemini-2.5-pro,True,True,right_to_right,4306,13266
sc_c1_ur_001,C1,unresolved,alias_plus_normalization,unresolved,google/gemini-2.5-pro,False,False,wrong_to_wrong,25993,20855
sc_c1_ur_002,C1,unresolved,alias_plus_normalization,unresolved,google/gemini-2.5-pro,False,False,wrong_to_wrong,19632,16209
sc_c1_dt_001,C1,deceptive_trap,alias_plus_normalization,yes,google/gemini-2.5-pro,True,True,right_to_right,7514,12918
sc_c1_dt_002,C1,deceptive_trap,approx_numeric_small,5050,google/gemini-2.5-pro,True,True,right_to_right,7026,15411
sc_c1_dt_003,C1,deceptive_trap,alias_plus_normalization,yes,google/gemini-2.5-pro,True,True,right_to_right,5202,11992
sc_c1_wr_006,C1,wrong_to_right,approx_numeric_small,4,google/gemini-2.5-pro,True,True,right_to_right,7491,12483
sc_c1_wr_007,C1,wrong_to_right,approx_numeric_small,15,google/gemini-2.5-pro,True,True,right_to_right,7601,15838
