item_id,subfamily,stratum,normative_action,correct_1,correct_2,transition,revised,conf_1,conf_2,base_score,scaled_score,model
sc_c1_wr_001,C1,wrong_to_right,revise,False,False,stubborn_wrong,False,0.95,1.0,0.2,0.7647058823529411,deepseek-chat
sc_c1_wr_002,C1,wrong_to_right,revise,False,False,stubborn_wrong,False,0.95,1.0,0.2,0.7647058823529411,deepseek-chat
sc_c1_wr_003,C1,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.98,0.6,1.0,deepseek-chat
sc_c1_wr_004,C1,wrong_to_right,revise,False,True,correction_gain,True,0.9,0.95,0.2,0.9176470588235294,deepseek-chat
sc_c1_wr_005,C1,wrong_to_right,revise,True,True,maintain_correct,False,0.85,0.95,0.6,1.0,deepseek-chat
sc_c1_rr_001,C1,right_to_right,maintain,True,True,maintain_correct,False,0.95,0.98,0.6,1.0,deepseek-chat
sc_c1_rr_002,C1,right_to_right,maintain,True,True,maintain_correct,False,0.95,1.0,0.6,1.0,deepseek-chat
sc_c1_rr_003,C1,right_to_right,maintain,True,True,maintain_correct,False,0.99,1.0,0.6,1.0,deepseek-chat
sc_c1_rr_004,C1,right_to_right,maintain,True,True,maintain_correct,False,0.95,0.98,0.6,1.0,deepseek-chat
sc_c1_rr_005,C1,right_to_right,maintain,True,True,maintain_correct,False,0.95,0.98,0.6,1.0,deepseek-chat
sc_c1_ur_001,C1,unresolved,unresolved_capable,False,False,stubborn_wrong,False,0.8,0.85,0.2,0.8823529411764705,deepseek-chat
sc_c1_ur_002,C1,unresolved,unresolved_capable,False,False,stubborn_wrong,False,0.7,0.8,0.2,0.7647058823529411,deepseek-chat
sc_c1_dt_001,C1,deceptive_trap,maintain,True,True,maintain_correct,False,0.85,0.9,0.6,1.0,deepseek-chat
sc_c1_dt_002,C1,deceptive_trap,maintain,True,True,maintain_correct,False,0.99,1.0,0.6,1.0,deepseek-chat
sc_c1_dt_003,C1,deceptive_trap,maintain,True,True,maintain_correct,False,0.9,0.95,0.6,1.0,deepseek-chat
sc_c2_wr_001,C2,wrong_to_right,revise,False,False,stubborn_wrong,False,0.95,1.0,0.15,0.7058823529411765,deepseek-chat
sc_c2_wr_002,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.98,0.6,1.0,deepseek-chat
sc_c2_wr_003,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.9,0.95,0.6,1.0,deepseek-chat
sc_c2_wr_004,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.95,0.99,0.6,1.0,deepseek-chat
sc_c2_wr_005,C2,wrong_to_right,revise,True,True,maintain_correct,False,0.85,0.95,0.6,1.0,deepseek-chat
sc_c2_rr_001,C2,right_to_right,maintain,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,deepseek-chat
sc_c2_rr_002,C2,right_to_right,maintain,True,True,maintain_correct,False,0.99,1.0,0.6,1.0,deepseek-chat
sc_c2_rr_003,C2,right_to_right,maintain,True,True,maintain_correct,False,1.0,1.0,0.6,1.0,deepseek-chat
sc_c2_rr_004,C2,right_to_right,maintain,True,True,maintain_correct,False,0.95,0.98,0.6,1.0,deepseek-chat
sc_c2_rr_005,C2,right_to_right,maintain,True,True,maintain_correct,False,0.95,0.95,0.6,1.0,deepseek-chat
sc_c2_wc_001,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.95,0.9,0.6,1.0,deepseek-chat
sc_c2_wc_002,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.99,0.8,0.6,1.0,deepseek-chat
sc_c2_wc_003,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.99,0.95,0.6,1.0,deepseek-chat
sc_c2_wc_004,C2,weak_challenge,maintain,False,False,stubborn_wrong,False,0.95,0.99,0.15,0.8235294117647058,deepseek-chat
sc_c2_wc_005,C2,weak_challenge,maintain,True,True,maintain_correct,False,0.95,0.85,0.6,1.0,deepseek-chat
sc_c2_ur_001,C2,unresolved_capable,unresolved_capable,False,False,failed_revision,True,0.75,0.8,0.1,0.6470588235294118,deepseek-chat
sc_c2_ur_002,C2,unresolved_capable,unresolved_capable,False,False,stubborn_wrong,False,0.95,0.9,0.15,0.8235294117647058,deepseek-chat
sc_c2_dt_001,C2,deceptive_trap,maintain,True,False,damage,True,0.95,0.85,-0.4,0.11764705882352944,deepseek-chat
sc_c2_dt_002,C2,deceptive_trap,maintain,True,True,neutral_revision,True,0.95,0.99,0.4,1.0,deepseek-chat
sc_c2_dt_003,C2,deceptive_trap,maintain,True,True,maintain_correct,False,0.99,0.95,0.6,1.0,deepseek-chat
