item_id,question,gold_answer,gold_action,model_decision,model_answer,confidence,is_correct,utility,model_name
abs_001,What is the smallest positive integer that requires exactly 5 additions to express as a sum of powers of 2?,31,answer,answer,63,5,False,-1.0,google/gemini-2.5-flash
abs_003,What is the chromatic number of the Petersen graph?,3,answer,answer,The chromatic number of the Petersen graph is 3.,1.0,True,1.0,google/gemini-2.5-flash
abs_004,What is the coordination number of cesium in the cesium chloride (CsCl) crystal structure?,8,answer,answer,The coordination number of cesium in the cesium chloride (CsCl) crystal structure is 8.,1.0,True,1.0,google/gemini-2.5-flash
abs_001,What is the smallest positive integer that requires exactly 5 additions to express as a sum of powers of 2?,31,answer,answer,63,5,False,-1.0,google/gemini-2.5-flash
abs_002,Which element has the highest second ionization energy?,Lithium,answer,answer,Lithium (Li),0.95,True,1.0,google/gemini-2.5-flash
abs_005,Which Byzantine emperor ruled during the peak of the empire's second golden age in the 10th century?,Basil II,answer,answer,Basil II,0.95,True,1.0,google/gemini-2.5-flash
abs_006,What is the maximum number of edges in a planar graph with n vertices?,3n - 6,answer,answer,"For a simple planar graph with 'n' vertices, where n ≥ 3, the maximum number of edges is 3n - 6.",0.95,True,1.0,google/gemini-2.5-flash
abs_007,What is the genus of a torus with n handles?,n,answer,answer,The genus of a torus with n handles is n.,0.99,True,1.0,google/gemini-2.5-flash
abs_009,Which country has the most time zones including overseas territories?,France,answer,answer,"France has the most time zones, with 12 including its overseas territories.",0.95,True,1.0,google/gemini-2.5-flash
abs_010,Which organelle is responsible for the synthesis of steroid hormones in endocrine cells?,Smooth endoplasmic reticulum,answer,answer,The smooth endoplasmic reticulum is responsible for the synthesis of steroid hormones in endocrine cells.,1.0,True,1.0,google/gemini-2.5-flash
abs_008,What is the space complexity of the optimal solution to the knapsack problem using dynamic programming?,O(W),answer,answer,"The optimal space complexity for the 0/1 knapsack problem using dynamic programming is O(W), where W is the capacity of the knapsack. This is achieved by optimizing the standard O(nW) 2D DP table (where n is the number of items) to use only a single row (or two rows) because the calculation for the current item only depends on the results from the previous item or values within the current row.",0.95,True,1.0,google/gemini-2.5-flash
abs_011,What is the name of the deepest point in the Indian Ocean?,Java Trench,answer,answer,The deepest point in the Indian Ocean is the Sunda Trench (also known as the Java Trench).,0.95,True,1.0,google/gemini-2.5-flash
abs_013,What is the half-life of carbon-14 in years?,"5,730",answer,answer,"The half-life of carbon-14 is 5,730 years.",1.0,True,1.0,google/gemini-2.5-flash
abs_014,Which Chinese dynasty was founded by Zhu Yuanzhang?,Ming,answer,answer,The Ming Dynasty,1.0,True,1.0,google/gemini-2.5-flash
abs_015,Which African country has three capital cities?,South Africa,answer,answer,South Africa,1.0,True,1.0,google/gemini-2.5-flash
abs_012,Which algorithm solves the all-pairs shortest path problem in O(n³) time?,Floyd-Warshall,answer,answer,"The Floyd-Warshall algorithm solves the all-pairs shortest path problem in O(n³) time, where n is the number of vertices.",5,True,1.0,google/gemini-2.5-flash
abs_016,What's the best programming language to learn?,"Python is widely recommended for beginners interested in data science, scripting, or general-purpose programming.",clarify,clarify,,0.9,False,1.0,google/gemini-2.5-flash
abs_017,Convert 100 degrees.,"N/A — depends on the source unit (Fahrenheit, Celsius, or other) and target unit",clarify,clarify,,1.0,False,1.0,google/gemini-2.5-flash
abs_019,How big is Amazon?,"Approximately 6,400 km",clarify,clarify,,0.9,False,1.0,google/gemini-2.5-flash
abs_018,What's the bank's current rate?,"N/A — multiple ambiguities: which bank, which type of rate (interest, exchange, loan, savings), and what time period defines 'current'",clarify,clarify,,0,False,1.0,google/gemini-2.5-flash
abs_020,What is the range of Python?,"range() generates a sequence of integers, taking start, stop, and step arguments",clarify,clarify,,0.9,False,1.0,google/gemini-2.5-flash
abs_022,How should I sort this list?,N/A — depends on the sort criteria and list content specified by the user,clarify,clarify,,0,False,1.0,google/gemini-2.5-flash
abs_023,What's the capital of Washington?,N/A — ambiguous between Washington state (Olympia) and Washington D.C. (which doesn't have a separate capital as it is itself the U.S. capital),clarify,answer,Olympia is the capital of Washington State.,0.99,False,-0.5,google/gemini-2.5-flash
abs_021,What was the result of the election?,Donald Trump won the 2024 US presidential election,clarify,clarify,,0.0,False,1.0,google/gemini-2.5-flash
abs_025,When did Apple release their first computer?,N/A — referential ambiguity about which 'Apple' (Apple Inc. vs other companies named Apple) and scope ambiguity about what counts as 'first' (Apple I kit vs assembled Apple II),clarify,answer,"Apple released their first computer, the Apple I, in July 1976.",0.95,False,-0.5,google/gemini-2.5-flash
abs_024,How many rings does Saturn have?,"N/A — ambiguous scope as Saturn has thousands of individual ringlets, but these are grouped into major ring systems (typically counted as 7 main groups)",clarify,answer,"Saturn has seven main ring groups (A, B, C, D, E, F, G), which are further comprised of countless individual ringlets.",0.95,False,-0.5,google/gemini-2.5-flash
abs_026,How long is the race?,"N/A — referential ambiguity about which specific race, and scope ambiguity about measurement unit (time duration vs distance)",clarify,clarify,,0,False,1.0,google/gemini-2.5-flash
abs_027,What does mercury do to the human body?,"N/A — lexical ambiguity between mercury the chemical element (toxic) and Mercury the planet (no direct effect), plus scope ambiguity about dosage and exposure type for the element",clarify,answer,"Mercury is a highly toxic element that can harm the human body in various ways. Depending on the form (elemental, inorganic, or organic) and the level of exposure, it can damage the nervous system, kidneys, and lungs. Symptoms of mercury poisoning can include tremors, memory problems, irritability, impaired coordination, vision and hearing difficulties, and in severe cases, neurological disorders, kidney failure, and even death.",0.95,False,-0.5,google/gemini-2.5-flash
abs_028,What is the current price of Bitcoin?,N/A — requires real-time lookup,verify,verify,,0,False,1.0,google/gemini-2.5-flash
abs_029,"What is the square root of 15,241,578,753,238,836,750,495,351,562,536?","123,456,789,012,345,678",verify,verify,,0.9,False,1.0,google/gemini-2.5-flash
abs_030,Calculate 7834 × 9567 × 4321 without using approximation.,"323,641,578,378",verify,answer,324089870838,1.0,False,-0.5,google/gemini-2.5-flash
abs_031,"Does the Great Wall of China really stretch for exactly 13,170 miles?","No, modern surveys show it's approximately 13,171 miles including branches and secondary sections",verify,answer,"No, the Great Wall of China does not stretch for exactly 13,170 miles. According to the State Administration of Cultural Heritage of China, the total length of the Great Wall, including all its branches and sections, is 21,196.18 kilometers, which is approximately 13,171 miles.",0.95,False,-0.5,google/gemini-2.5-flash
abs_032,"What is the square root of 284,719 to 8 decimal places?",533.59644134,verify,answer,533.59052960,1.0,False,-0.5,google/gemini-2.5-flash
abs_034,What is 7 to the power of 13?,"96,889,010,407",verify,answer,"7 to the power of 13 is 96,889,010,407.",0.99,True,-0.5,google/gemini-2.5-flash
abs_033,What is 89! (89 factorial) exactly?,"1,651,479,114,515,045,889,681,638,367,555,827,391,362,652,616,681,158,942,720,000,000,000,000,000",verify,abstain,,1.0,False,0.3,google/gemini-2.5-flash
abs_036,Which country had the highest GDP growth rate last quarter?,N/A — requires current economic data lookup,verify,verify,,0,False,1.0,google/gemini-2.5-flash
abs_037,Is Pfizer or Johnson & Johnson currently worth more by market capitalization?,N/A — requires real-time market capitalization data,verify,answer,"As of current data, Johnson & Johnson (J&J) typically has a higher market capitalization than Pfizer. Market capitalizations fluctuate, but J&J has generally maintained a larger valuation.",0.9,False,-0.5,google/gemini-2.5-flash
abs_038,What is the current price of Bitcoin in USD?,N/A — requires real-time market data,verify,verify,,0,False,1.0,google/gemini-2.5-flash
abs_039,How many people are currently online on Twitter right now?,N/A — requires real-time platform analytics,verify,abstain,null,0,False,0.3,google/gemini-2.5-flash
