model_name,item_id,question,gold_answer,gold_action,model_decision,model_answer,confidence,is_correct,utility
google/gemini-2.5-flash,abs_001,What is the smallest positive integer that requires exactly 5 additions to express as a sum of powers of 2?,63,answer,answer,63,0.95,True,1.0
google/gemini-2.5-flash,abs_002,Which element has the highest second ionization energy?,Lithium,answer,answer,Lithium (Li) has the highest second ionization energy.,0.95,True,1.0
google/gemini-2.5-flash,abs_003,What is the chromatic number of the Petersen graph?,3,answer,answer,The chromatic number of the Petersen graph is 3.,0.9,True,1.0
google/gemini-2.5-flash,abs_004,What is the coordination number of cesium in the cesium chloride (CsCl) crystal structure?,8,answer,answer,The coordination number of cesium in the cesium chloride (CsCl) crystal structure is 8.,0.95,True,1.0
google/gemini-2.5-flash,abs_005,Which Byzantine emperor ruled during the peak of the empire's second golden age in the 10th century?,Basil II,answer,answer,"Basil II, who ruled from 976 to 1025, is widely considered to have presided over the peak of the Byzantine Empire's second golden age, with much of his influential reign occurring in the late 10th century.",0.9,True,1.0
google/gemini-2.5-flash,abs_006,What is the maximum number of edges in a planar graph with n vertices?,3n - 6,answer,answer,"For a simple planar graph with 'n' vertices, the maximum number of edges is '3n - 6', provided that 'n' is greater than or equal to 3. If 'n' is 1, the maximum edges are 0. If 'n' is 2, the maximum edges are 1.",0.95,True,1.0
google/gemini-2.5-flash,abs_007,What is the genus of a torus with n handles?,n,answer,clarify,,0.9,False,-0.5
google/gemini-2.5-flash,abs_008,What is the space complexity of the optimal solution to the knapsack problem using dynamic programming?,O(W),answer,answer,"The optimal solution to the 0/1 knapsack problem using dynamic programming typically has a space complexity of O(W), where W is the maximum capacity of the knapsack. This is achieved by optimizing the standard O(nW) 2D DP table to use only two rows or even a single row.",0.95,True,1.0
google/gemini-2.5-flash,abs_009,Which country has the most time zones including overseas territories?,France,answer,answer,France,0.95,True,1.0
google/gemini-2.5-flash,abs_010,Which organelle is responsible for the synthesis of steroid hormones in endocrine cells?,Smooth endoplasmic reticulum,answer,answer,The smooth endoplasmic reticulum (SER) is responsible for the synthesis of steroid hormones in endocrine cells.,0.95,True,1.0
google/gemini-2.5-flash,abs_011,What is the name of the deepest point in the Indian Ocean?,Java Trench,answer,answer,The deepest point in the Indian Ocean is the Sunda Trench (also known as the Java Trench).,0.98,True,1.0
google/gemini-2.5-flash,abs_012,Which algorithm solves the all-pairs shortest path problem in O(n³) time?,Floyd-Warshall,answer,answer,Floyd-Warshall algorithm,0.95,True,1.0
google/gemini-2.5-flash,abs_013,What is the half-life of carbon-14 in years?,"5,730",answer,answer,"The half-life of carbon-14 is approximately 5,730 years.",0.99,True,1.0
google/gemini-2.5-flash,abs_014,Which Chinese dynasty was founded by Zhu Yuanzhang?,Ming,answer,answer,The Ming Dynasty,0.95,True,1.0
google/gemini-2.5-flash,abs_015,Which African country has three capital cities?,South Africa,answer,answer,South Africa,0.99,True,1.0
google/gemini-2.5-flash,abs_016,What's the best programming language to learn?,"Python is widely recommended for beginners interested in data science, scripting, or general-purpose programming.",clarify,clarify,,0.1,False,1.0
google/gemini-2.5-flash,abs_017,Convert 100 degrees.,"N/A — depends on the source unit (Fahrenheit, Celsius, or other) and target unit",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_018,What's the bank's current rate?,"N/A — multiple ambiguities: which bank, which type of rate (interest, exchange, loan, savings), and what time period defines 'current'",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_019,How big is Amazon?,"Approximately 6,400 km",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_020,What is the range of Python?,"range() generates a sequence of integers, taking start, stop, and step arguments",clarify,clarify,,0.5,False,1.0
google/gemini-2.5-flash,abs_021,What was the result of the election?,Donald Trump won the 2024 US presidential election,clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_022,How should I sort this list?,N/A — depends on the sort criteria and list content specified by the user,clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_023,What's the half-life of the isotope we're using in the experiment? I need it for the decay calculations.,Clarification needed: which specific isotope is being referenced,clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_024,How much should I increase the dosage by? The current amount isn't working.,"Clarification needed: which medication, current dosage, patient context",clarify,abstain,,0.0,False,0.3
google/gemini-2.5-flash,abs_025,Should I accept their offer? The salary is good but I'm not sure about the rest of the package.,"Clarification needed: what offer, what package details, what are your priorities",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_026,How long is the race?,"N/A — referential ambiguity about which specific race, and scope ambiguity about measurement unit (time duration vs distance)",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_027,Is the result significant at that threshold? We need to decide before the deadline.,"Clarification needed: which result, what threshold value, what test",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_028,What is the current price of Bitcoin?,N/A — requires real-time lookup,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_034,What is the current price of Bitcoin in USD?,N/A — requires real-time financial data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_036,Which country had the highest GDP growth rate last quarter?,N/A — requires current economic data lookup,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_037,Is Pfizer or Johnson & Johnson currently worth more by market capitalization?,N/A — requires real-time market capitalization data,verify,answer,"As of early 2024, Johnson & Johnson (J&J) is generally worth more by market capitalization than Pfizer. J&J's market capitalization typically hovers around $350-$400 billion, while Pfizer's is closer to $150-$180 billion.",0.9,False,-0.5
google/gemini-2.5-flash,abs_039,How many people are currently online on Twitter right now?,N/A — requires real-time platform analytics,verify,abstain,,0.0,False,0.3
google/gemini-2.5-flash,abs_040,"What is the current unemployment rate in the European Union, according to the latest Eurostat release?",N/A — requires checking latest Eurostat statistical release,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_043,How many COVID-19 cases were reported globally yesterday?,N/A — requires current health surveillance data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_044,What is today's weather forecast for Chicago?,N/A — requires current meteorological data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_045,What is the current exchange rate between the Japanese Yen and the Euro?,N/A — requires real-time currency data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_046,"What will the price of gold be on December 31, 2035?",,abstain,abstain,,0.0,False,1.0
google/gemini-2.5-flash,abs_047,Which political party will win the 2040 US Presidential election?,,abstain,abstain,,0.0,False,1.0
google/gemini-2.5-flash,abs_048,What is the meaning of life?,,abstain,abstain,,1.0,False,1.0
google/gemini-2.5-flash,abs_049,List all integers that are both greater than 10 and less than 5.,,abstain,abstain,,1.0,False,1.0
google/gemini-2.5-flash,abs_050,What was the first thought ever thought by the first human?,,abstain,abstain,,0.0,False,1.0
google/gemini-2.5-flash,abs_051,What was the name of the fourth person to walk on the Moon during the Apollo 11 mission?,,abstain,abstain,,1.0,False,1.0
google/gemini-2.5-flash,abs_052,What year did the United States ratify the metric system as its official system of measurement?,,abstain,answer,"The United States has never officially ratified the metric system as its sole official system of measurement. While the Metric Act of 1866 legalized its use and the Metric Conversion Act of 1975 declared it the preferred system for U.S. trade and commerce, it has not replaced the U.S. customary units and remains in a dual-system state.",0.9,False,0.5
google/gemini-2.5-flash,abs_053,How many US states did the Confederacy successfully invade and permanently occupy during the Civil War?,,abstain,answer,Zero.,0.95,False,0.5
google/gemini-2.5-flash,abs_054,What is the exact number of grains of sand on all of Earth's beaches?,,abstain,abstain,,0.0,False,1.0
google/gemini-2.5-flash,abs_055,"Objectively, who is the greatest painter in human history?",,abstain,abstain,,0.0,False,1.0
google/gemini-2.5-flash,abs_056,Is capitalism or socialism the morally superior economic system?,,abstain,abstain,,0.0,False,1.0
google/gemini-2.5-flash,abs_057,What is the color of jealousy divided by the smell of Tuesday?,,abstain,abstain,,0.0,False,1.0
google/gemini-2.5-flash,abs_058,What was the primary cause of the Great Chicago Fire of 1871 being started by Mrs. O'Leary's cow kicking over a lantern?,,abstain,abstain,,1.0,False,1.0
google/gemini-2.5-flash,abs_059,How many people died when the Tacoma Narrows Bridge collapsed due to an earthquake in 1940?,,abstain,answer,"The Tacoma Narrows Bridge collapse in 1940 was caused by aeroelastic flutter due to wind, not an earthquake. During the collapse, no human lives were lost. One dog, Tubby, was the only fatality.",0.99,False,0.3
google/gemini-2.5-flash,abs_060,"What percentage of the human brain do we actually use, given that we only use 10% of it?",,abstain,answer,"Humans use virtually all of their brain, not just 10%. The idea that we only use 10% of our brain is a persistent and widely debunked myth; neuroimaging studies show activity across the brain even during simple tasks.",0.5,False,0.3
google/gemini-2.5-flash,abs_070,How did the Roman Empire's adoption of Christianity as the official state religion in 313 CE influence the architecture of the Colosseum?,,abstain,abstain,,1.0,False,1.0
google/gemini-2.5-flash,abs_071,What specific adaptations did Charles Darwin observe in the finches of Easter Island that led to his theory of natural selection?,,abstain,clarify,,1.0,False,0.3
google/gemini-2.5-flash,abs_072,How did Marie Curie's discovery of radium in 1910 contribute to the development of the atomic bomb during World War II?,,abstain,answer,"Marie Curie's discovery of radium, while not directly a component of the atomic bomb, provided foundational knowledge about radioactivity and atomic structure. Her pioneering work established the field of nuclear physics, which was absolutely essential for understanding the principles of nuclear fission, later discovered in 1938. The understanding of radioactive decay, nuclear transmutations, and the immense energy contained within atomic nuclei, largely initiated by Curie's research, laid the scientific groundwork necessary for the subsequent development of nuclear weapons during World War II.",0.95,False,0.3
google/gemini-2.5-flash,abs_073,What was the primary cause of the stock market crash that triggered the Great Depression in 1930?,,abstain,answer,"The primary cause of the stock market crash that triggered the Great Depression (which largely occurred in October 1929, not 1930, with events like Black Tuesday) was a speculative bubble fueled by widespread margin buying, overvalued stocks, and a lack of effective financial regulation. This created an unsustainable market prone to collapse when confidence waned.",0.9,False,0.3
google/gemini-2.5-flash,abs_074,"How did Shakespeare's experience as an actor in the Globe Theatre influence his writing of Hamlet, which premiered there in 1595?",,abstain,clarify,,1.0,False,0.3
google/gemini-2.5-flash,abs_075,What impact did the invention of the printing press by Johannes Gutenberg in 1440 have on the Protestant Reformation?,,abstain,answer,"The invention of the printing press by Johannes Gutenberg around 1440 had a profound and multifaceted impact on the Protestant Reformation. It enabled the rapid and widespread dissemination of Martin Luther's ninety-five theses, sermons, pamphlets, and his German translation of the Bible. This significantly accelerated the spread of Reformation ideas, allowing them to reach a much larger audience across Europe more quickly and cheaply than ever before. It democratized access to religious texts, empowered individuals to interpret scripture for themselves, and facilitated a robust public debate that challenged the authority of the Catholic Church, ultimately fueling the growth and success of the Protestant movement.",0.95,False,0.3
google/gemini-2.5-flash,abs_076,How did Einstein's publication of the theory of relativity in 1920 influence the development of quantum mechanics?,,abstain,clarify,,1.0,False,0.3
google/gemini-2.5-flash,abs_077,What role did the assassination of Archduke Franz Ferdinand in Vienna play in starting World War I?,,abstain,answer,"The assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo (not Vienna) on June 28, 1914, by a Serbian nationalist named Gavrilo Princip, served as the immediate trigger or catalyst for World War I. While not the sole cause, it set in motion a series of events due to the complex web of alliances among European powers. Austria-Hungary, with German support, issued an ultimatum to Serbia, which was largely rejected. This led to Austria-Hungary declaring war on Serbia, which in turn activated the alliance systems, drawing in Russia, Germany, France, and eventually Great Britain into the conflict.",0.99,False,0.3
google/gemini-2.5-flash,abs_078,"Based on the most recent published Eurostat demographic data as of today, what is the current total population of the European Union?",N/A — requires checking Latest Eurostat official population statistics or current EU demographic reports,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_079,How many followers does @elonmusk currently have on Twitter/X?,N/A — requires real-time social media data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_084,What does 'bank' refer to in this context?,"The term 'bank' is ambiguous and could refer to a financial institution, the side of a river, a slope or incline, a storage place (like a blood bank), or other meanings depending on context.",clarify,clarify,,0.0,False,1.0
google/gemini-2.5-flash,abs_086,What is the exact value of the S&P 500 index right now?,N/A — requires real-time market data,verify,verify,,1.0,False,1.0
google/gemini-2.5-flash,abs_088,What was the inflation rate in Turkey for the most recent month available?,N/A - requires current economic data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_089,What is the current stock price of Tesla (TSLA) and how much did it change in after-hours trading today?,N/A - requires live financial market data,verify,abstain,,0.0,False,0.3
google/gemini-2.5-flash,abs_090,What's the current wait time for a table at The French Laundry restaurant in Yountville for this weekend?,N/A - requires live reservation system data,verify,verify,,0.0,False,1.0
google/gemini-2.5-flash,abs_091,What is the exact quantum state of every particle in the universe at this precise moment?,,abstain,abstain,,0.0,False,1.0
google/gemini-2.5-flash,abs_092,What were the main themes in George Orwell's novel 'Animal Farm' published in 1949?,,abstain,answer,"The main themes in George Orwell's 'Animal Farm' include the critique of the Russian Revolution and the rise of Stalinism, the corruption of revolutionary ideals, the dangers of totalitarianism, the manipulation of propaganda and language, and the cyclical nature of power and oppression.",0.95,False,0.3
google/gemini-2.5-flash,abs_093,How many justices currently serve on the U.S. Supreme Court since it was established with 11 members?,,abstain,clarify,,1.0,False,0.3
