example_id,source,item_family,difficulty,gold_answer,answer_type,aliases,note
cal_001,authored_v2,mathematics,easy,3,integer,3; 3.0; three,Absolute floor anchor — every model should get this right.
cal_002,authored_v2,arithmetic,easy,10,integer,10; 10.0; ten,Simple perfect square root — calibration floor.
cal_003,authored_v2,science,easy,365,integer,365; 365.0,Universal knowledge anchor.
cal_004,authored_v2,arithmetic,easy,8,integer,8; 8.0; eight,Low-order exponent — easy baseline.
cal_005,authored_v2,geography,easy,7,integer,7; 7.0; seven,Universal geographical knowledge — calibration floor anchor.
cal_006,authored_v2,chemistry,easy,h2o,single_word,h2o; h₂o; H2O,Universal science anchor — models always know this.
cal_007,authored_v2,arithmetic,easy,24,integer,24; 24.0; twenty-four,Absolute floor — calibration baseline.
cal_008,authored_v2,geography,easy,paris,entity,paris,Quintessential easy anchor — every model knows this.
cal_009,authored_v2,sports,easy,5,integer,5; 5.0; five,Easy floor anchor — 5 players per team on court.
cal_010,authored_v2,arithmetic,easy,144,integer,144; 144.0,Easy multiplication anchor — 12² = 144.
cal_011,authored_v2,biology,medium,19,integer,19; 19.0; nineteen,The hand has 27 bones total including wrist (8 carpals). Excluding wrist: 5 metacarpals + 14 phalanges = 19. Models often confuse with 27 (whole hand+wrist). Precision required.
cal_012,authored_v2,history,medium,1912,integer,1912; 1912.0,Well-known historical event — solid medium anchor.
cal_013,authored_v2,astronomy,medium,jupiter,entity,jupiter,Standard astronomy fact — medium anchor.
cal_014,authored_v2,literature,medium,george orwell,entity,george orwell; orwell; eric arthur blair,Standard literary fact — medium calibration anchor.
cal_015,authored_v2,geography,medium,vatican city,entity,vatican city; the vatican; holy see; vatican,Standard geographic fact — Vatican City (Holy See) is 0.44 km².
cal_016,authored_v2,chemistry,medium,hydrogen,entity,hydrogen,Standard chemistry — atomic number 1 is hydrogen.
cal_017,authored_v2,economics,medium,yen,entity,yen; japanese yen,Standard economics fact — medium anchor.
cal_018,authored_v2,literature,medium,7,integer,7; 7.0; seven,Standard literary fact — 7 novels confirmed. Verified via Wikipedia and Bloomsbury.
cal_019,authored_v2,sports,medium,china,entity,china,Well-known sporting event — held in Beijing.
cal_020,authored_v2,physics,medium,300000,integer,300000; 300000.0,"~299,792 km/s rounds to 300,000 km/s. Standard physics fact."
cal_021,authored_v2,biology,medium,carbon dioxide,entity,carbon dioxide; co2; carbon-dioxide,Standard biology — plants absorb CO2 during photosynthesis.
cal_022,authored_v2,sports,medium,11,integer,11; 11.0; eleven,Standard sports fact — 11 per side.
cal_023,authored_v2,language,medium,mandarin,entity,mandarin; mandarin chinese; chinese,"Mandarin Chinese has ~1.3 billion native speakers, more than any other single language. Verified via Ethnologue/Babbel."
cal_024,authored_v2,science,medium,diamond,entity,diamond,Diamond scores 10 on Mohs scale — hardest natural substance.
cal_025,authored_v2,culture,medium,8,integer,8; 8.0; eight,Stop signs are octagons — 8 sides. Verified.
cal_026,authored_v2,geography,medium,mount everest,entity,mount everest; everest; mt. everest; mt everest,"Everest is highest above sea level at 8,848m. Note: Mauna Kea is taller from base, Chimborazo farthest from Earth's center — this is specifically above sea level."
cal_027,authored_v2,biology,medium,27,integer,27; 27.0; twenty-seven,8 carpals (wrist) + 5 metacarpals + 14 phalanges = 27. Verified via multiple anatomy sources.
