item_id,question,gold_answer,grader_rule,mechanism,model_answer,confidence,is_correct,brier_score,model_name
gen_b_028,How many confirmed moons does Saturn have as of March 2025? Answer with a number only.,274,alias_plus_normalization,RLHF,146,0.9,False,0.18999999999999995,google/gemini-2.5-flash
gen_b3_014,How many US Supreme Court justices have ever been impeached?,1,alias_plus_normalization,RLHF,1,0.9,True,0.99,google/gemini-2.5-flash
gen_b_028,How many confirmed moons does Saturn have as of March 2025? Answer with a number only.,274,alias_plus_normalization,RLHF,146,0.85,False,0.2775000000000001,google/gemini-2.5-flash
gen_b3_022,How many US states have names containing exactly four letters?,3,alias_plus_normalization,RLHF,3,0.95,True,0.9974999999999999,google/gemini-2.5-flash
gen_b_039,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'The human appendix has no known biological function and i",false,tri_label,AmbiguityMetacognition,contested,0.9,False,0.18999999999999995,google/gemini-2.5-flash
gen_b_037,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'Pluto's reclassification as a dwarf planet in 2006 is sci",contested,tri_label,AmbiguityMetacognition,false,0.95,False,0.09750000000000003,google/gemini-2.5-flash
gen_b_038,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'Consuming dietary fat causes heart disease.' Answer with ",contested,tri_label,AmbiguityMetacognition,contested,0.95,True,0.9974999999999999,google/gemini-2.5-flash
gen_b_040,"Is the following claim unambiguously true, unambiguously false, or contested among experts? 'The many-worlds interpretation of quantum mechanics is th",contested,tri_label,AmbiguityMetacognition,contested,0.9,True,0.99,google/gemini-2.5-flash
gen_a2_001,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Sitting for prolonged periods is as harm",contested,tri_label,AmbiguityMetacognition,false,0.95,False,0.09750000000000003,google/gemini-2.5-flash
gen_a2_003,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Violent video games cause real-world vio",contested,tri_label,AmbiguityMetacognition,contested,0.9,True,0.99,google/gemini-2.5-flash
gen_a2_005,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Eating dietary fat is the primary driver",false,tri_label,AmbiguityMetacognition,false,0.85,True,0.9775,google/gemini-2.5-flash
gen_a2_007,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Static stretching before exercise reliab",contested,tri_label,AmbiguityMetacognition,contested,0.9,True,0.99,google/gemini-2.5-flash
gen_a2_015,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Whether the optimal level of dietary sod",contested,tri_label,AmbiguityMetacognition,true,0.95,False,0.09750000000000003,google/gemini-2.5-flash
gen_a2_013,"Is the following claim unambiguously true, unambiguously false, or genuinely contested among experts? Claim: 'Whether the Mpemba effect — hot water fr",true,tri_label,AmbiguityMetacognition,true,0.9,True,0.99,google/gemini-2.5-flash
gen_a3_001,"Is the following claim unambiguously true, unambiguously false, or contested among experts: 'The scientific consensus is that dietary saturated fat di",contested,tri_label,AmbiguityMetacognition,contested,0.9,True,0.99,google/gemini-2.5-flash
gen_a3_007,"Is the following claim unambiguously true, unambiguously false, or contested among experts: 'High testosterone levels in humans directly and causally ",contested,tri_label,AmbiguityMetacognition,contested,0.9,True,0.99,google/gemini-2.5-flash
gen_a4_022,"Is the following claim unambiguously true, unambiguously false, or contested among experts: 'There is scientific consensus on whether free will exists",contested,tri_label,AmbiguityMetacognition,false,0.9,False,0.18999999999999995,google/gemini-2.5-flash
gen_a_026,"Greenland has a total area of approximately 2,166,086 km². Mexico has a total area of approximately 1,964,375 km². Which is larger, and by what approx","greenland, 10%",alias_plus_normalization,Compositional,"Greenland, 10%",1.0,True,1.0,google/gemini-2.5-flash
gen_b2_033,"Brazil alone accounts for approximately what percentage of South America's total population, meaning a single country comprises nearly half the contin",49,approx_numeric_small,Compositional,49,0.9,True,0.99,google/gemini-2.5-flash
